Subject,StartDate,StartTime
Assignment,09/03/2025,3:00AM
Assignment,09/05/2025,3:00AM
Labs,09/08/2025,8:00AM
Assignment,09/10/2025,3:00AM
Assignment,09/12/2025,3:00AM
Labs,09/15/2025,8:00AM
Assignment,09/17/2025,3:00AM
Assignment,09/19/2025,3:00AM
Labs,09/22/2025,8:00AM
Assignment,09/24/2025,3:00AM
Assignment,09/26/2025,3:00AM
Labs,09/29/2025,8:00AM
Assignment,10/01/2025,3:00AM
Assignment,10/03/2025,3:00AM
Labs,10/06/2025,8:00AM
Assignment,10/08/2025,3:00AM
Assignment,10/10/2025,3:00AM
Labs,10/13/2025,8:00AM
Assignment,10/15/2025,3:00AM
Assignment,10/17/2025,3:00AM
Labs,10/20/2025,8:00AM
Assignment,10/22/2025,3:00AM
Assignment,10/24/2025,3:00AM
Labs,10/27/2025,8:00AM
Assignment,10/29/2025,3:00AM
Assignment,10/31/2025,3:00AM
Labs,11/03/2025,8:00AM
Assignment,11/05/2025,3:00AM
Assignment,11/07/2025,3:00AM
Labs,11/10/2025,8:00AM
Testing,11/12/2025,5:58AM
Submission,11/12/2025,9:00AM
Assignment,11/12/2025,3:00AM
WorkDone,11/13/2025,8:00AM
Assignment,11/14/2025,3:00AM
Work,11/14/2025,8:00AM
Work,11/15/2025,8:00AM
Work,11/16/2025,8:00AM
Lab,11/17/2025,8:00AM
Labs,11/17/2025,8:00AM
Work,11/17/2025,8:00AM
Work,11/18/2025,8:00AM
Submission,11/19/2025,9:00AM
Assignment,11/19/2025,3:00AM
Work,11/19/2025,8:00AM
Work,11/20/2025,8:00AM
Assignment,11/21/2025,3:00AM
Work,11/21/2025,8:00AM
Work,11/22/2025,8:00AM
Work,11/23/2025,8:00AM
Work,11/24/2025,8:00AM
Work,11/25/2025,8:00AM
Submission,11/26/2025,9:00AM
Assignment,11/26/2025,3:00AM
Work,11/26/2025,8:00AM
Work,11/27/2025,8:00AM
Assignment,11/28/2025,3:00AM
Work,11/28/2025,8:00AM
Work,11/29/2025,8:00AM
Work,11/30/2025,8:00AM
Work,12/01/2025,8:00AM
Work,12/02/2025,8:00AM
Submission,12/03/2025,9:00AM
Assignment,12/03/2025,3:00AM
Work,12/03/2025,8:00AM
Work,12/04/2025,8:00AM
Assignment,12/05/2025,3:00AM
Work,12/05/2025,8:00AM
Work,12/06/2025,8:00AM
Work,12/07/2025,8:00AM
Work,12/08/2025,8:00AM
Work,12/09/2025,8:00AM
Submission,12/10/2025,9:00AM
Assignment,12/10/2025,3:00AM
Work,12/10/2025,8:00AM
Work,12/11/2025,8:00AM
Assignment,12/12/2025,3:00AM
Work,12/12/2025,8:00AM
Work,12/13/2025,8:00AM
Work,12/14/2025,8:00AM
Work,12/15/2025,8:00AM
Work,12/16/2025,8:00AM
Submission,12/17/2025,9:00AM
Work,12/17/2025,8:00AM
Work,12/18/2025,8:00AM
Work,12/19/2025,8:00AM
Work,12/20/2025,8:00AM
Work,12/21/2025,8:00AM
Work,12/22/2025,8:00AM
Work,12/23/2025,8:00AM
Submission,12/24/2025,9:00AM
Work,12/24/2025,8:00AM
Work,12/25/2025,8:00AM
Work,12/26/2025,8:00AM
Work,12/27/2025,8:00AM
Work,12/28/2025,8:00AM
Work,12/29/2025,8:00AM
Work,12/30/2025,8:00AM
Submission,12/31/2025,9:00AM
Work,12/31/2025,8:00AM
Submission,01/07/2026,9:00AM
Submission,01/14/2026,9:00AM
Submission,01/21/2026,9:00AM
Submission,01/28/2026,9:00AM
Submission,02/04/2026,9:00AM
Submission,02/11/2026,9:00AM
Submission,02/18/2026,9:00AM
Submission,02/25/2026,9:00AM
Submission,03/04/2026,9:00AM
Submission,03/11/2026,9:00AM
Submission,03/18/2026,9:00AM
Submission,03/25/2026,9:00AM
Submission,04/01/2026,9:00AM
Submission,04/08/2026,9:00AM
Submission,04/15/2026,9:00AM
Submission,04/22/2026,9:00AM
Submission,04/29/2026,9:00AM
Submission,05/06/2026,9:00AM
Submission,05/13/2026,9:00AM
Submission,05/20/2026,9:00AM
Submission,05/27/2026,9:00AM
Submission,06/03/2026,9:00AM
